location,compartment,item_type,name,part_number,package_type,quantity,manufacturer,distributor,notes
Cabinet Z,Row 1 Column 1,Regulator,IC REG 1.8V 0.15A SOT23-5,LP5951MG-1.8,SMD,11,TI,Digi-Key,
Cabinet Z,Row 1 Column 2,Regulator,IC REG 3.3V 0.50A SOT23-5,MIC5219-3.3YM5 TR,SMD,37,Micrel Inc.,Digi-Key,
Cabinet Z,Row 1 Column 3,Regulator,IC REG 5.0V 1.0A SOT223-3,AP1117E50G-13,SMD,5,Diodes Inc.,Digi-Key,
Cabinet Z,Row 1 Column 4,Sensor,SENSOR TEMP PWM SMBUS TO46-4,MLX90615SSG-DAG-000-TU,THRU,4,Melexis Tech.,Digi-Key,
Cabinet Z,Row 1 Column 5,Sensor,SENSOR TEMP 1-WIRE TO92-3,DS18B20-PAR+T&R,THRU,19,Maxim Int.,Digi-Key,
Cabinet Z,Row 2 Column 1,Sensor,IC BAROMETER I2C DGTL MINI 8-LGA,MPL115A2T1,SMD,7,Freescale Semi.,Digi-Key,
Cabinet Z,Row 2 Column 2,IC Switch,IC LOAD SWITCH SLEW CNTRL 6SOT23,AAT4280IGU-1-T1,SMD,90,"Skyworks Solutions, Inc.",Digi-Key,
Cabinet Z,Row 2 Column 3,EEPROM,IC EEPROM 512KBIT 400KHZ 8DIP,24LC512-I/P,DIP,10,Microchip Tech.,Digi-Key,
Cabinet Z,Row 2 Column 4,Diode,DIODE SCHOTTKY 20V 500MA SOD123,MBR0520LT3G,SMD,26,ON Semi.,Digi-Key,
Cabinet Z,Row 2 Column 5,Diode,DIODE 75V 0.25A SOD323-2,BAS16WS-V-GS08,SMD,3,Vishay Semi.,Mouser,
Cabinet Z,Row 3 Column 1,EEPROM,SPI SERIAL EEPROM 1MBITS I2C,,,,,,
Cabinet Z,Row 3 Column 2,Operating Amplifier,IC OPAMP GP 1MHZ RRO SOT353 ,LMV321SEG-7DICT-ND,SMD,98,Diodes Inc.,Digi-Key,
Cabinet Z,Row 3 Column 3,Operating Amplifier,IC OPAMP GP 370KHZ RRO SOT23-5,576-1319-1-ND,SMD,100,Micrel Inc.,Digi-Key,
